id,user_id,uuid,"feeling text","feeling image","what to change","image what to change",latitude,longitude,tags,opinions,"feeling score","change score","confort score","enjoyable score","protection score","place to rest","to rest text","movement score","movement text","activities score","activities text","orientation score","orientation text","weather score","weather text","facilities score","facilities text","noise score","noise text","beauty score","beauty text","cleanliness score","cleanliness text","plants score","plants text","talking score","talking text","sunlight score","sunlight text","shade score","shade text","interesting score","interesting text","protection score","protection text","polluants score","polluants text","night score","night text","hazard score","dangerous score","dangerous text","protection score","protection text","space usage","time spending","spend time score","spend time text","meeting score","meeting text","events score","events text","multifunctional score","multifunctional text","usage details","likes count","dislikes count","comfortable count","indifferent count",worried,"comment count"
12,2,7505761025404,,,,,46.171116,6.154166,,,Street,happy,50,50,50,50,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,,50,,50,,50,yes,50,,50,,50,,,,,0,0,0,0,0,0,0
14,2,7505761025404,,,,,46.141116,6.154166,,,Street,happy,50,50,50,50,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,50,yes,0,,0,,0,,0,,,0,0,0,0,0,0,0
15,1,1224350753444,,,,,51.471379,5.029967,,,Street,happy,50,50,50,50,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,50,"i don't know",0,,0,,0,,0,,,0,0,0,0,0,0,0
16,1,105614427024,,,,,51.511394,5.185913,,,Street,happy,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,,,0,,0,,0,,0,,,0,0,0,0,0,0,0
17,1,0510706564044,,,,,51.537488,5.197097,,,Street,curious,50,50,50,50,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,50,indifferent,0,,0,,0,,0,,,0,0,0,0,0,0,0
18,2,5600434244524,,,,,51.498467,5.090553,,,Street,confused,50,50,50,50,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,50,indifferent,0,,0,,0,,0,,nobody,0,0,0,0,0,0,0
19,2,5042244033214,,,,,51.540314,5.208366,,,Street,happy,50,50,50,50,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,,yes,0,,0,,0,,50,,,0,0,0,0,0,0,0
20,2,152523557347,,,,,51.533926,5.184445,dfsghj,,Street,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,,,0,,0,,0,,0,,,0,0,0,0,0,0,0
21,2,303500137005,,,,,51.598263,5.044550,,fghjfdghdf,Street,curious,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,,,0,,0,,0,,0,,,0,0,0,0,0,0,0
23,1,321244410734,,,,,0.000000,0.000000,sidewalk,,Street,confused,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,,,0,,0,,0,,0,,,0,0,0,0,0,0,0
